name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Shake It Off,1989,Taylor Swift,2014-10-27,219200,72,0.0561,0.648,0.785,0.0,0.148,-5.414,0.165,160.02,4
Sorry Not Sorry,Tell Me You Love Me (Deluxe),Demi Lovato,2017-09-29,203760,13,0.0237,0.705,0.64,0.0,0.262,-6.928,0.225,144.077,4
Send My Love (To Your New Lover),25,Adele,2016-06-24,223080,2,0.0415,0.69,0.524,3.16e-06,0.17,-8.39,0.103,164.023,4
Never Be the Same,Camila,Camila Cabello,2018-01-12,226973,75,0.181,0.637,0.713,0.000637,0.137,-4.333,0.0747,129.923,4
Happier,Happier,Marshmello,2018-08-17,214289,83,0.191,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015,4
7 rings,"thank u, next",Ariana Grande,2019-02-08,178626,85,0.592,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,4
Call Me Maybe,Kiss (Deluxe),Carly Rae Jepsen,2012-01-01,193400,71,0.0114,0.783,0.58,2.28e-06,0.108,-6.548,0.0408,120.021,4
I'll Be There,Always in Between (Deluxe),Jess Glynne,2018-10-12,194386,71,0.0288,0.627,0.858,0.0,0.199,-3.116,0.0394,100.074,4
Rude,Don't Kill the Magic,MAGIC!,2014-06-25,224840,81,0.0422,0.773,0.758,0.0,0.305,-4.993,0.0381,144.033,4
Delicate,reputation,Taylor Swift,2017-11-10,232253,78,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4
Slow Hands,Flicker (Deluxe),Niall Horan,2017-10-20,188174,77,0.011,0.735,0.425,0.0,0.055,-6.648,0.0464,85.896,4
Electric Love,Dopamine,BØRNS,2015-10-16,218106,84,0.00543,0.611,0.797,0.00137,0.26,-7.627,0.0533,120.041,4
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,2017-08-11,163870,77,0.047,0.643,0.783,0.0,0.083,-6.458,0.0856,154.084,4
