name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
C'est La Vie,C'est La Vie,Khaled,2012-05-17,225751,63,0.0259,0.616,0.933,0.0,0.359,-3.762,0.0513,129.952,4
Beauty And A Beat,Believe (Deluxe Edition),Justin Bieber,2012-06-15,227986,74,0.000688,0.602,0.843,5.27e-05,0.0682,-4.831,0.0593,128.003,4
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012-12-07,233478,85,0.049,0.726,0.698,0.0,0.309,-4.165,0.0431,143.994,4
Wake Me Up,True,Avicii,2013-09-13,247426,10,0.0038,0.532,0.783,0.0012,0.161,-5.697,0.0523,124.08,4
Better,Suncity,Khalid,2018-10-18,229320,78,0.0765,0.596,0.552,0.334,0.104,-10.278,0.097,97.949,4
Love The Way You Lie,Recovery,Eminem,2010-06-18,263373,82,0.241,0.749,0.925,0.0,0.52,-5.034,0.227,86.989,4
One More Night,Overexposed Track By Track,Maroon 5,2012-01-01,219546,75,0.0558,0.716,0.821,0.0,0.0844,-3.435,0.0314,92.997,4
Cold Water (feat. Justin Bieber & MØ),Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016-07-22,185351,71,0.0736,0.608,0.798,0.0,0.156,-5.092,0.0432,92.943,4
Rolling in the Deep,21,Adele,2011-01-19,228093,5,0.138,0.73,0.77,0.0,0.0473,-5.114,0.0298,104.948,4
It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,2017-02-16,220780,76,0.119,0.64,0.533,0.0,0.0864,-6.596,0.0706,99.968,4
On Top Of The World,Night Visions,Imagine Dragons,2012-09-04,192280,75,0.0841,0.631,0.924,3.59e-06,0.084,-5.589,0.146,100.045,4
Hold Back The River,Chaos And The Calm,James Bay,2015-03-20,238746,68,0.0526,0.715,0.715,0.0,0.0936,-7.364,0.0902,134.922,4
Ciao Adios,Ciao Adios,Anne-Marie,2017-02-10,200104,59,0.127,0.698,0.882,0.0,0.15,-3.078,0.0863,106.083,4
Shut Up and Dance,TALKING IS HARD (Expanded Edition),WALK THE MOON,2014-12-02,199080,65,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,128.038,4
Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.163,0.599,0.448,0.0,0.106,-6.312,0.0232,95.05,3
