name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,82,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4
Royals,Pure Heroine,Lorde,2013-09-27,190185,78,0.121,0.674,0.428,0.0,0.132,-9.504,0.122,84.878,4
Power Over Me,Power Over Me,Dermot Kennedy,2018-12-14,206960,2,0.0519,0.42,0.843,0.0,0.106,-4.231,0.121,173.827,3
Somebody That I Used To Know,Making Mirrors,Gotye,2011-01-01,244884,80,0.548,0.865,0.521,0.000115,0.0989,-6.932,0.0371,129.059,4
SOS,SOS,Avicii,2019-04-10,157202,1,0.272,0.802,0.645,0.0,0.119,-6.181,0.0715,100.001,4
Dangerous Woman,Dangerous Woman,Ariana Grande,2016-05-20,235946,12,0.0529,0.664,0.602,0.0,0.356,-5.369,0.0412,134.049,3
California Gurls,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,234653,76,0.00446,0.791,0.754,0.0,0.163,-3.729,0.0569,125.014,4
Don't You Worry Child - Radio Edit,Don't You Worry Child,Swedish House Mafia,2012-09-14,212862,79,0.112,0.612,0.84,0.0,0.116,-3.145,0.0509,129.042,4
Hello,25,Adele,2015-11-20,295502,4,0.329,0.47,0.431,0.0,0.0854,-6.129,0.0342,157.98,4
Close To Me (with Diplo) (feat. Swae Lee),Close To Me (feat. Swae Lee),Ellie Goulding,2018-10-24,182623,68,0.0954,0.575,0.758,0.0,0.394,-5.029,0.0618,144.107,4
"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,2014-03-03,232720,80,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,160.019,4
"Read All About It, Pt. III",Our Version Of Events (Special Edition),Emeli Sandé,2012-01-01,283706,69,0.822,0.63,0.44,3.87e-06,0.0926,-7.186,0.0249,98.082,4
FourFiveSeconds,FourFiveSeconds,Rihanna,2015-01-24,188238,78,0.875,0.582,0.272,0.0,0.13,-5.662,0.0501,205.846,4
The Greatest,This Is Acting (Deluxe Version),Sia,2016-10-21,210920,68,0.0174,0.639,0.785,0.00107,0.0512,-6.167,0.174,191.95,4
Bumpy Ride,MoveMeant (International),Mohombi,2010-01-01,224720,72,0.0476,0.706,0.842,0.0,0.134,-4.628,0.038,104.958,4
Call On Me - Ryan Riback Remix,Call On Me,Starley,2016-10-07,222000,46,0.136,0.691,0.821,0.000115,0.092,-4.527,0.0401,104.961,4
Sign of the Times,Harry Styles,Harry Styles,2017-05-12,340706,82,0.0275,0.516,0.595,0.0,0.109,-4.63,0.0313,119.972,4
Things We Lost In The Fire,All This Bad Blood,Bastille,2013-01-01,240746,0,0.0612,0.579,0.917,0.0,0.251,-4.88,0.0618,134.04,4
Stay With Me,In The Lonely Hour,Sam Smith,2014-05-26,172723,83,0.588,0.418,0.42,6.39e-05,0.11,-6.444,0.0414,84.094,4
